"UNIQUE_ID","PRODUCT_NAME","COMPANY","PRODUCT_TYPE","PRODUCT_CATEGORY","COST_PRICE","SELLING_PRICE","QUANTITY_DEMANDED","PROFIT","NET_PROFIT"
"1","GSK01","A Masks","A","hygiene","mask",160,200,890,40,35600
"2","GSK02","N hand sanitizer,350 ml","N","hygiene","sanitizer",248,400,800,152,121600
"3","GSK03","G Channa Dal, 1kG","G","foodgrains&spices","pulses(dal)",162,180,456,18,8208
"4","GSK04","I Organic Raisins,100g","I","Organic food","Dry Fruits",77.14,133,100,55.86,5586
"5","GSK05","S Body oil","S","beauty products","bodycare",494.5,593.4,111,98.9,10977.9
"6","GSK06","S AloeverS Gel","S","beauty products","bodycare",445.05,534.06,111,89.0099999999999,9880.10999999999
"7","GSK07","S edible oil,1L","S","foodgrains&spices","edible oil",270,300,360,30,10800
"8","GSK08","G Organic Flour 1kg","G","Organic food","Flour",56.84,98,52,41.16,2140.32
"9","GSK09","Z Organic Fennel,100 g","Z","Organic food","Whole Spices",56.84,98,27,41.16,1111.32
"10","GSK10","A mosquitto repellent","A","household","repellents",171,225,353,54,19062
"11","GSK11","Z Dried Cranberries,100g","Z","Packed Food","Dry Fruits",125,143.75,500,18.75,9375
"12","GSK12","I chocolate flavour Cornflakes, 1kg","I","Packed Food","Dry Fruits",515,592.25,188,77.25,14523
"13","GSK13","E disinfectant spray,250 ml","E","hygiene","disinfectant",171.76,226,454,54.24,24624.96
"14","GSK14","N hair oil,1L","N","hygiene","haircare",450,500,400,50,20000
"15","GSK15","A Body oil","A","beauty products","bodycare",516.26,619.512,119,103.252,12286.988
"16","GSK16","J Almonds,100g","J","Packed Food","Dry Fruits",70,80.5,544,10.5,5712
"17","GSK17","Z Organic Red chilly, 100 g","Z","Organic food","Whole Spices",32.48,56,22,23.52,517.44
"18","GSK18","Z Apricots,100g","Z","Packed Food","Dry Fruits",155,178.25,476,23.25,11067
"19","GSK19","A mosquitto coil","A","household","repellents",95,125,353,30,10590
"20","GSK20","Z Organic Walnuts,100g","Z","Packed Food","Dry Fruits",217,249.55,426,32.55,13866.3
"21","GSK21","G Cumin, 100 g","G","foodgrains&spices","Whole Spices",38.94,59,541,20.06,10852.46
"22","GSK22","M disinfectant spray,250 ml","M","hygiene","disinfectant",172.52,227,452,54.48,24624.96
"23","GSK23","B Kajal","B","beauty products","eye-makeup",203.82,244.584,292,40.764,11903.088
"24","GSK24","Z Organic Hazel Nuts,100g","Z","Organic food","Dry Fruits",354.84,611.8,52,256.96,13361.92
"25","GSK25","N strawberry flavour Oats, 1kg","N","Packed Food","Dry Fruits",367,422.05,306,55.05,16845.3
"26","GSK26","J Organic Raisins,100g","J","Packed Food","Dry Fruits",70,80.5,544,10.5,5712
"27","GSK27","G Cheese  Chiplets, 200 g (8 Cubes)","G","dairy products","cheese",181,211,441,30,13230
"28","GSK28","E hand sanitizer,350 ml","E","hygiene","sanitizer",195.3,315,897,119.7,107370.9
"29","GSK29","G Organic Peanut , 1 kg","G","Organic food","cereals",162.4,280,52,117.6,6115.2
"30","GSK30","Z Organic Almonds,100g","Z","Organic food","Dry Fruits",306.12,527.8,220,221.68,48769.6
"31","GSK31","G Cardamom, 100 g","G","foodgrains&spices","Whole Spices",203.94,309,291,105.06,30572.46
"32","GSK32","T Red chilly, 100 g","T","foodgrains&spices","Whole Spices",16.5,25,575,8.5,4887.5
"33","GSK33","H Fruit Juice  Mango, 2x1.5 L Multipack","H","beverage","fruit juice",168.72,222,355,53.28,18914.4
"34","GSK34","Z Almonds,100g","Z","Packed Food","Dry Fruits",75,86.25,540,11.25,6075
"35","GSK35","S perfume","S","beauty products","bodycare",602,722.4,20,120.4,2408
"36","GSK36","B Lip balm","B","beauty products","bodycare",252.2,302.64,221,50.44,11147.24
"37","GSK37","T Matar Dal, 1kg","T","foodgrains&spices","pulses(dal)",72,80,536,8,4288
"38","GSK38","S Bay Leaf, 100 g","S","foodgrains&spices","Whole Spices",19.8,30,570,10.2,5814
"39","GSK39","M disinfectant spray,250 ml","M","hygiene","disinfectant",172.52,227,452,54.48,24624.96
"40","GSK40","J Organic Figs,100g","J","Organic food","Dry Fruits",357.28,616,38,258.72,9831.36
"41","GSK41","T Chakki attT 1kg","T","foodgrains&spices","grains",36,49.5,568,13.5,7668
"42","GSK42","S room freshner","S","household","freshners",272.08,358,231,85.92,19847.52
"43","GSK43","G chocolate flavour Oats, 1kg","G","Packed Food","Dry Fruits",313,359.95,350,46.95,16432.5
"44","GSK44","G Organic Bay Leaf, 100 g","G","Organic food","Whole Spices",40.6,70,22,29.4,646.8
